id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53991998,Rental unit in Munich · ★5.0 · 1 bedroom · 2 beds · 1 bath,4291403,Gitte,,Sendling,48.11862,11.5492,Entire home/apt,110,2,9,2023-06-10,0.85,1,10,9,
53995761,Condo in Munich · 1 bedroom · 1 bed · 1 bath,252704910,Michaela,,Untergiesing-Harlaching,48.10493,11.56314,Entire home/apt,70,5,0,,,1,81,0,
54013065,Rental unit in Munich · ★4.98 · 1 bedroom · 1 bed · 1 bath,156942415,Stefan & Jackeline,,Sendling-Westpark,48.11192,11.50449,Entire home/apt,71,4,44,2023-06-23,2.57,1,200,29,
54015926,Boutique hotel in Munich · ★3.33 · 1 bedroom · 1 bed · 1 private bath,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,158,1,6,2022-06-19,0.43,26,163,0,
54016636,Boutique hotel in Munich · ★4.67 · 1 bedroom · 2 beds · 1 private bath,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,188,1,12,2023-01-08,0.75,26,128,7,
54018364,Boutique hotel in Munich · ★4.67 · 1 bedroom · 3 beds · 1 private bath,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,231,1,9,2023-02-10,0.63,26,76,6,
54029172,Rental unit in Munich · ★4.58 · 1 bedroom · 1 bed · 1 shared bath,82118778,Hussein,,Milbertshofen-Am Hart,48.17784,11.5691,Shared room,35,1,40,2022-10-29,2.21,1,0,19,
54030960,Rental unit in Munich · ★5.0 · 1 bedroom · 3 beds · 1 bath,4289796,Na,,Sendling,48.11526,11.53994,Entire home/apt,85,26,4,2023-06-08,0.25,2,252,2,
54033129,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,30545875,Lisa,,Schwabing-West,48.16164,11.5687,Entire home/apt,54,3,14,2023-03-12,0.78,1,0,5,
54060863,Condo in Munich · ★4.88 · 1 bedroom · 1 bed · 1 bath,5733195,Christine,,Altstadt-Lehel,48.13249,11.57088,Entire home/apt,100,92,8,2023-05-15,0.49,3,144,6,
54079060,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,22871787,Jennifer,,Ludwigsvorstadt-Isarvorstadt,48.12751,11.57162,Entire home/apt,150,90,0,,,2,0,0,
